Feature,Importance
PctExtHyperlinks,0.2069428878652988
PctExtNullSelfRedirectHyperlinksRT,0.1677125547600752
FrequentDomainNameMismatch,0.07780353631560016
PctExtResourceUrls,0.0677517096832561
PctNullSelfRedirectHyperlinks,0.06451971606303436
NumDash,0.04563696373777837
ExtMetaScriptLinkRT,0.03586843776274559
NumNumericChars,0.03337510858516573
InsecureForms,0.03304556487688074
PathLevel,0.028881542599474577
NumDots,0.020571557411970042
SubmitInfoToEmail,0.020504012465700876
PathLength,0.018822443514785164
UrlLength,0.01682641346836546
NumSensitiveWords,0.01641408563012326
NumQueryComponents,0.01587550850094852
QueryLength,0.015257577669532662
HostnameLength,0.01289573950634252
IframeOrFrame,0.012707915977765234
PctExtResourceUrlsRT,0.011957416926977476
ExtFavicon,0.008480046650470231
NumUnderscore,0.007122468069444866
NumDashInHostname,0.00664451693971876
SubdomainLevel,0.005368007648981982
AbnormalExtFormActionR,0.0050464609733772035
IpAddress,0.004654304439267234
NumAmpersand,0.004343494121248491
RelativeFormAction,0.0036886460965710357
UrlLengthRT,0.003382027182531473
MissingTitle,0.003304895893486296
DomainInPaths,0.0029853392370640993
RandomString,0.002955628367200753
EmbeddedBrandName,0.002903417393945641
ExtFormAction,0.002665709685924619
NumPercent,0.002469625606160686
RightClickDisabled,0.0020088499508818755
AbnormalFormAction,0.0017607517495216308
DomainInSubdomains,0.0016563528750232794
NoHttps,0.0015170345135195908
SubdomainLevelRT,0.0012817177893397957
TildeSymbol,0.0007972818255322775
ImagesOnlyInForm,0.0006699166937392886
PopUpWindow,0.0003876832619965084
NumHash,0.00015257639404169638
FakeLinkInStatusBar,0.0001402641420290327
DoubleSlashInPath,0.00012765497064604853
AtSymbol,0.00011463420651473034
HttpsInHostname,0.0
