Feature,Importance
PctExtNullSelfRedirectHyperlinksRT,0.6269107
PctExtHyperlinks,0.081450954
FrequentDomainNameMismatch,0.041681867
InsecureForms,0.027959118
NoHttps,0.02377741
SubmitInfoToEmail,0.021877132
PctNullSelfRedirectHyperlinks,0.012762001
NumDashInHostname,0.011741667
IframeOrFrame,0.01052619
NumDash,0.009479173
PathLevel,0.008934572
NumPercent,0.008374175
ExtMetaScriptLinkRT,0.008263134
ExtFormAction,0.008047565
NumAmpersand,0.007881416
QueryLength,0.0075720283
NumSensitiveWords,0.007308692
IpAddress,0.0072992975
NumQueryComponents,0.007263448
ExtFavicon,0.0069712233
MissingTitle,0.0061798682
NumUnderscore,0.0056435936
PctExtResourceUrls,0.005168128
NumNumericChars,0.0050933748
AbnormalExtFormActionR,0.004300863
RelativeFormAction,0.003731701
NumDots,0.0036806709
SubdomainLevel,0.0034989377
PathLength,0.0025457852
UrlLength,0.002515333
ImagesOnlyInForm,0.00200796
HostnameLength,0.0020036618
DomainInSubdomains,0.0019233683
PctExtResourceUrlsRT,0.0017957414
RandomString,0.001411774
DomainInPaths,0.0013709355
SubdomainLevelRT,0.0010465343
NumHash,0.0
AtSymbol,0.0
TildeSymbol,0.0
EmbeddedBrandName,0.0
DoubleSlashInPath,0.0
HttpsInHostname,0.0
FakeLinkInStatusBar,0.0
RightClickDisabled,0.0
PopUpWindow,0.0
AbnormalFormAction,0.0
UrlLengthRT,0.0
